800,5,8,,0100,0,-inf
1600,5,16,,0100,0.00199473,0.0100976
3200,5,32,,0100,6.74037e-05,0.00392956
800,5,8,,0100,0.00210474,0.0089585
1600,5,16,,0100,0.000194155,0.00711063
3200,5,32,,0100,2.81686e-06,0.000267324
6400,5,64,,0100,8.37754e-09,4.5363e-06
800,5,8,,1100,8.53693e-07,5.59985e-06
1600,5,16,,1100,1.39232e-06,4.38798e-05
3200,5,32,,1100,2.20475e-07,2.98275e-05
6400,5,64,,1100,3.41021e-09,1.64006e-06
800,5,8,,0100,0.00352154,0.00686183
1600,5,16,,0100,0.000738619,0.0113607
3200,5,32,,0100,2.76812e-05,0.0021185
6400,5,64,,0100,1.63158e-07,6.15862e-05
800,5,8,,1100,8.52803e-07,3.11904e-06
1600,5,16,,1100,1.76351e-06,2.82674e-05
3200,5,32,,1100,8.4229e-07,4.33207e-05
6400,5,64,,1100,4.06725e-08,1.0698e-05
